,title,pct_n_affected,total_cost
127,"(0, 0, 0, 0, 1, 1, 2, 0, 1)",19.2787059136,1076456.06667
128,"(0, 0, 0, 0, 1, 1, 2, 0, 2)",19.0798196765,1093757.7
129,"(0, 0, 0, 0, 1, 1, 2, 1, 0)",17.8599840891,1057852.1
130,"(0, 0, 0, 0, 1, 1, 2, 1, 1)",17.2500662954,1067042.23333
131,"(0, 0, 0, 0, 1, 1, 2, 1, 2)",17.0511800583,1084343.86667
132,"(0, 0, 0, 0, 1, 1, 2, 2, 0)",17.4489525325,1086790.26667
133,"(0, 0, 0, 0, 1, 1, 2, 2, 1)",16.8390347388,1095980.4
134,"(0, 0, 0, 0, 1, 1, 2, 2, 2)",16.6401485017,1113282.03333
135,"(0, 0, 0, 0, 1, 2, 0, 0, 0)",22.6199946964,1104519.6
136,"(0, 0, 0, 0, 1, 2, 0, 0, 1)",22.0100769027,1113709.73333
137,"(0, 0, 0, 0, 1, 2, 0, 0, 2)",21.8111906656,1131011.36667
138,"(0, 0, 0, 0, 1, 2, 0, 1, 0)",20.5913550782,1095105.76667
139,"(0, 0, 0, 0, 1, 2, 0, 1, 1)",19.9814372845,1104295.9
140,"(0, 0, 0, 0, 1, 2, 0, 1, 2)",19.7825510475,1121597.53333
141,"(0, 0, 0, 0, 1, 2, 0, 2, 0)",20.1803235216,1124043.93333
142,"(0, 0, 0, 0, 1, 2, 0, 2, 1)",19.5704057279,1133234.06667
143,"(0, 0, 0, 0, 1, 2, 0, 2, 2)",19.3715194909,1150535.7
144,"(0, 0, 0, 0, 1, 2, 1, 0, 0)",21.1614956245,1089655.4
145,"(0, 0, 0, 0, 1, 2, 1, 0, 1)",20.5515778308,1098845.53333
146,"(0, 0, 0, 0, 1, 2, 1, 0, 2)",20.3526915937,1116147.16667
147,"(0, 0, 0, 0, 1, 2, 1, 1, 0)",19.1328560064,1080241.56667
148,"(0, 0, 0, 0, 1, 2, 1, 1, 1)",18.5229382127,1089431.7
149,"(0, 0, 0, 0, 1, 2, 1, 1, 2)",18.3240519756,1106733.33333
150,"(0, 0, 0, 0, 1, 2, 1, 2, 0)",18.7218244497,1109179.73333
151,"(0, 0, 0, 0, 1, 2, 1, 2, 1)",18.1119066561,1118369.86667
152,"(0, 0, 0, 0, 1, 2, 1, 2, 2)",17.913020419,1135671.5
153,"(0, 0, 0, 0, 1, 2, 2, 0, 0)",19.8886237072,1091041.86667
